Job Title,Company Name,Required Qualifications,Required Skills,Programming Languages,LinkedIn Profile,Company Logo,Min Salary (LPA),Max Salary (LPA)
Software Engineer,Company_1,MCA,"Docker, C++, SQL","R, JavaScript",https://www.linkedin.com/company/company_1,https://dummyimage.com/100x100/000/fff.png&text=Company_1,4,5
Data Analyst,Company_2,B.Sc in Data Science,"React, Java, SQL","Scala, SQL",https://www.linkedin.com/company/company_2,https://dummyimage.com/100x100/000/fff.png&text=Company_2,5,8
Software Engineer,Company_3,B.Sc in IT,"SQL, Deep Learning, Java","Ruby, Java",https://www.linkedin.com/company/company_3,https://dummyimage.com/100x100/000/fff.png&text=Company_3,4,7
Machine Learning Engineer,Company_4,B.Tech in Computer Science,"React, SQL, Node.js","SQL, Ruby",https://www.linkedin.com/company/company_4,https://dummyimage.com/100x100/000/fff.png&text=Company_4,4,7
DevOps Engineer,Company_5,M.Tech in AI,"Python, Java, Node.js","SQL, R",https://www.linkedin.com/company/company_5,https://dummyimage.com/100x100/000/fff.png&text=Company_5,3,4
QA Engineer,Company_6,B.E. in Electronics,"Deep Learning, JavaScript, Docker","Java, SQL",https://www.linkedin.com/company/company_6,https://dummyimage.com/100x100/000/fff.png&text=Company_6,3,4
Frontend Developer,Company_7,B.Tech in Computer Science,"Deep Learning, React, Python","JavaScript, Scala",https://www.linkedin.com/company/company_7,https://dummyimage.com/100x100/000/fff.png&text=Company_7,4,5
Frontend Developer,Company_8,B.Tech in Computer Science,"React, Node.js, AWS","C++, JavaScript",https://www.linkedin.com/company/company_8,https://dummyimage.com/100x100/000/fff.png&text=Company_8,6,9
Software Engineer,Company_9,B.E. in Electronics,"Python, SQL, AWS","Ruby, Python",https://www.linkedin.com/company/company_9,https://dummyimage.com/100x100/000/fff.png&text=Company_9,5,8
QA Engineer,Company_10,BCA,"React, Machine Learning, JavaScript","Ruby, R",https://www.linkedin.com/company/company_10,https://dummyimage.com/100x100/000/fff.png&text=Company_10,5,6
Machine Learning Engineer,Company_11,PhD in Artificial Intelligence,"Python, SQL, AWS","JavaScript, Java",https://www.linkedin.com/company/company_11,https://dummyimage.com/100x100/000/fff.png&text=Company_11,6,7
Data Scientist,Company_12,M.Tech in AI,"SQL, AWS, Node.js","Java, SQL",https://www.linkedin.com/company/company_12,https://dummyimage.com/100x100/000/fff.png&text=Company_12,3,4
